week,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
13,,,,,,,,,,,,,,,,,,,,,,70.6,,,,,,58.6,,55.4,
14,,,,,,,,,,,,,,,,,,,,50.8,62.6,70.4,71.8,,,68.4,66.2,58.6,61.4,59.0,64.2
15,,,,,,,,,,,,,,,,,,,,53.2,64.8,70.0,74.2,,,69.2,66.6,59.0,63.2,60.0,65.8
16,,,,,,,,,,,,,,,,,,,,54.6,68.6,72.6,76.2,56.4,69.6,71.6,65.2,61.2,64.4,62.4,
17,,,,,78.0,,,,,,76.4,,,,,77.2,70.2,,,58.2,70.2,74.0,77.0,57.4,70.8,73.0,63.0,63.4,66.8,65.8,
18,72.0,56.6,69.8,75.6,80.2,55.8,74.6,74.2,73.4,69.4,76.6,76.2,74.0,67.8,70.4,77.8,72.2,78.2,59.0,61.6,72.8,75.8,78.0,64.0,72.8,74.0,62.2,66.0,67.0,71.0,
19,70.4,62.6,,,80.8,58.6,80.0,77.8,79.8,71.0,79.6,77.6,75.2,72.0,73.6,76.8,74.2,78.4,60.8,65.0,74.4,76.2,79.6,67.4,73.0,72.8,62.6,69.4,68.4,75.2,
20,,68.0,69.8,79.0,82.2,57.4,78.6,79.2,82.4,73.0,78.8,77.6,76.2,71.8,75.2,77.6,75.2,76.2,69.4,67.8,76.0,78.2,80.0,70.0,73.8,73.0,67.2,72.0,70.6,76.4,
21,74.0,73.0,,,83.6,54.6,78.8,77.6,81.2,77.2,78.4,77.4,75.2,74.6,75.8,78.4,76.0,71.6,72.4,69.4,78.0,79.2,80.0,71.6,74.2,74.8,69.4,74.2,68.0,77.2,
22,75.0,73.6,67.6,81.2,83.4,57.2,78.2,79.2,80.6,78.4,76.6,78.6,77.0,73.6,77.2,78.0,77.4,70.2,75.0,73.0,78.8,80.2,80.4,72.6,74.0,75.0,69.2,74.0,65.0,79.0,
23,,75.0,68.0,81.6,81.8,55.8,78.0,78.4,80.6,78.4,77.2,74.6,77.2,73.4,76.4,79.4,79.4,65.2,76.6,74.4,79.8,79.6,75.8,71.8,75.4,76.0,64.2,74.8,64.4,80.0,
24,,,67.4,81.8,81.6,58.2,78.6,81.2,80.2,81.4,76.6,70.6,74.2,73.2,75.6,,,63.2,77.0,75.6,81.0,76.2,75.0,73.8,75.2,76.2,61.6,73.6,59.2,78.6,
25,,,68.8,79.0,81.2,57.2,78.4,75.6,77.6,81.8,71.4,69.6,74.0,74.4,77.8,78.6,,62.0,77.0,76.8,81.0,74.6,73.4,74.0,76.2,76.4,64.2,73.6,56.6,77.0,
26,,77.4,69.8,,81.0,63.0,76.2,68.6,78.8,80.4,72.8,67.0,72.6,74.4,77.8,77.4,78.4,57.4,78.4,78.0,80.6,72.8,72.6,74.0,76.2,75.6,63.6,71.8,57.2,77.0,
27,,72.2,71.2,81.2,79.0,64.2,72.0,58.2,76.2,78.8,68.2,59.4,68.8,75.2,77.0,78.4,76.6,50.0,76.0,77.8,80.0,72.0,68.8,72.6,75.8,76.0,65.2,72.4,55.6,76.8,
28,70.2,69.4,67.4,78.8,74.0,68.2,64.8,60.4,79.2,81.6,58.4,55.2,62.8,75.6,76.8,76.8,75.2,44.4,72.0,78.0,79.6,72.2,64.4,71.6,73.6,72.8,65.8,71.6,60.6,75.6,
29,,66.4,61.2,76.0,71.2,69.0,61.0,51.8,73.6,79.0,52.6,53.2,61.4,76.8,77.4,,72.0,35.8,68.8,77.4,79.0,73.0,61.4,69.8,72.2,68.8,65.2,68.8,58.4,75.8,
30,69.4,65.8,61.6,75.4,68.2,67.8,61.6,52.0,68.8,79.8,57.6,52.0,60.0,75.4,77.6,76.6,67.4,33.2,67.2,76.0,78.4,72.2,59.0,67.2,69.8,68.8,63.0,65.4,57.6,75.8,
31,70.6,64.2,59.2,70.4,66.4,68.6,59.0,52.4,63.6,77.0,53.0,50.8,56.4,75.2,75.8,75.8,66.8,31.4,62.4,72.4,78.2,72.6,57.6,63.0,68.8,66.6,61.0,60.8,56.8,73.8,
32,67.4,65.6,50.4,72.4,67.0,65.2,54.0,51.0,56.4,79.4,55.0,55.6,61.0,74.4,75.0,76.4,63.4,31.6,59.8,70.8,77.0,72.2,53.4,61.8,65.0,62.4,60.2,57.0,57.0,74.0,
33,67.6,61.6,53.6,69.8,71.0,65.6,54.6,55.6,48.6,75.4,56.8,62.2,66.0,72.2,75.0,75.2,61.2,32.4,57.8,68.6,74.8,73.2,53.4,60.2,63.6,60.4,58.4,57.6,57.2,75.8,
34,63.6,65.8,55.8,70.4,68.8,65.4,56.0,61.8,39.0,75.6,57.2,66.6,72.6,70.2,75.8,73.8,61.0,33.6,53.6,69.6,74.6,73.0,54.2,61.8,64.8,55.0,59.4,56.0,54.0,74.2,
35,59.4,67.6,56.8,70.4,66.0,60.6,56.4,61.8,35.0,73.2,55.0,68.6,73.2,67.2,74.8,75.0,60.8,34.4,48.0,72.4,74.4,72.6,54.6,64.6,65.6,50.0,60.8,57.4,50.4,73.6,
36,56.0,64.0,58.8,68.4,63.6,55.2,55.4,57.0,31.6,73.4,53.4,71.8,74.2,66.2,74.6,75.4,59.2,35.6,43.6,73.2,73.8,73.6,53.4,67.0,64.6,47.0,61.4,56.8,49.8,73.6,
37,55.0,65.0,60.2,66.2,60.8,51.2,60.6,54.4,33.6,73.2,53.2,75.6,74.2,67.8,73.0,74.6,60.6,36.8,42.8,74.8,74.2,73.8,51.0,67.2,65.4,50.2,58.8,57.2,49.2,69.6,
38,57.4,64.0,60.8,65.4,59.0,50.0,64.0,54.2,38.8,74.2,51.4,74.4,74.4,69.2,70.2,74.8,58.8,36.8,43.6,75.2,74.6,73.2,50.4,67.8,65.6,51.2,58.2,57.6,51.0,67.8,
39,54.8,67.2,64.4,64.2,59.6,54.4,65.6,54.2,43.8,69.8,53.6,72.6,74.2,68.6,70.2,74.0,56.8,35.8,45.6,75.2,74.2,73.0,51.4,68.4,66.6,52.8,57.4,56.8,49.4,65.8,
40,60.8,64.2,64.6,63.6,144.8,53.8,63.2,56.8,43.6,69.8,53.8,70.4,74.0,67.4,71.0,72.6,54.6,35.2,,75.0,73.8,72.2,52.2,69.4,66.8,53.0,58.0,56.2,49.8,62.6,
41,59.0,63.8,62.6,67.2,56.8,54.4,64.2,56.4,44.0,65.2,51.2,68.6,73.4,69.2,71.0,69.8,53.6,35.0,,74.8,72.8,72.2,56.6,69.6,66.4,52.4,58.6,56.4,52.0,58.4,
42,59.4,65.4,62.4,71.0,56.0,53.2,62.6,56.6,44.2,64.6,53.8,67.4,72.6,68.0,71.2,68.0,50.8,37.0,49.6,74.4,70.4,71.8,59.4,69.8,68.2,53.2,59.4,55.0,51.8,55.2,
43,55.4,63.8,61.6,69.2,52.0,50.8,63.6,57.2,44.2,64.2,52.6,67.4,73.0,66.6,69.4,66.2,49.6,37.0,49.8,74.0,69.0,71.6,59.4,68.6,67.2,53.0,59.8,54.4,54.0,52.2,
44,55.4,,63.2,69.0,,,,,43.4,63.2,,,,66.0,,,,,,,,,,,,,,,,,
