week,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
17,,,,,77.6,,,,,,70.0,,,,,74.6,60.0,,,,65.0,73.0,,,,,70.2,52.6,,
18,72.4,,73.6,,79.6,72.6,64.2,55.8,55.8,57.6,69.0,59.6,68.0,65.0,71.0,74.8,58.4,65.6,43.4,56.0,64.6,74.2,76.4,57.2,74.6,70.0,68.6,54.4,42.8,61.6
19,74.0,53.6,,,78.2,72.6,64.8,54.8,54.6,57.6,69.2,59.4,69.2,66.2,72.8,75.0,57.2,64.2,44.2,53.6,65.8,75.2,78.2,56.6,76.0,68.6,69.6,56.2,44.6,62.0
20,,56.0,,,79.4,71.4,65.6,58.4,57.6,58.0,67.6,61.2,70.8,65.4,74.4,75.8,56.8,61.8,47.8,52.2,68.0,76.2,78.8,57.4,76.4,68.6,71.4,56.4,48.2,63.8
21,,58.0,,,79.2,69.6,66.4,58.4,60.0,59.8,68.2,58.8,72.2,68.2,71.6,76.8,58.0,58.4,48.6,51.8,70.6,77.0,79.4,58.8,75.0,70.0,74.6,58.6,47.8,65.2
22,,61.6,,,79.2,69.8,68.0,58.0,62.0,55.8,68.6,58.8,72.4,68.6,73.0,76.4,59.6,57.4,50.2,52.0,72.2,77.2,79.4,60.8,76.4,70.2,76.8,61.6,50.6,66.2
23,,65.8,,,80.8,66.6,68.4,57.0,65.6,57.8,69.4,58.2,75.6,69.8,73.6,77.2,60.2,52.2,53.0,54.0,73.2,77.8,79.2,60.8,77.0,69.0,75.6,61.6,55.4,68.0
24,,67.2,,,79.8,64.6,69.2,57.2,62.4,55.4,69.6,55.8,73.6,70.6,75.8,77.8,59.8,49.8,54.2,57.4,74.0,76.6,78.4,59.0,78.0,66.8,72.8,61.6,60.8,69.2
25,,67.8,,,80.2,64.8,71.6,57.0,64.0,56.4,69.8,60.0,74.4,70.4,75.0,76.8,59.6,48.0,54.4,58.4,74.4,75.6,78.6,60.0,78.6,66.8,71.8,61.8,59.0,71.0
26,,69.2,,71.2,81.4,65.8,70.0,55.8,64.4,58.8,70.6,56.8,73.8,70.0,75.2,76.2,55.4,42.8,54.4,61.4,74.6,75.6,77.4,61.4,77.2,65.0,73.6,62.2,57.6,70.0
27,79.4,68.2,,70.8,80.0,64.6,65.8,54.4,63.2,59.2,70.4,56.2,73.0,70.0,75.0,76.8,54.8,39.8,52.8,62.6,73.4,75.0,76.0,60.2,78.8,63.2,72.8,59.4,59.8,72.6
28,,69.2,75.8,72.4,78.8,62.2,63.0,51.8,61.2,61.8,69.4,56.2,73.4,69.0,73.0,76.6,52.8,36.6,50.2,62.8,72.8,75.0,75.2,58.4,79.0,63.0,70.8,55.2,59.8,70.6
29,,69.6,74.2,73.0,76.4,63.8,59.8,48.0,56.0,65.4,64.4,52.6,71.0,69.4,74.4,74.8,48.2,33.4,46.8,64.2,72.8,73.8,73.0,57.2,76.8,62.4,69.2,51.6,59.6,67.8
30,,69.8,70.6,71.4,72.2,64.2,59.8,42.4,50.0,64.2,59.8,48.0,71.8,65.2,73.8,74.2,45.8,31.6,47.4,63.0,72.2,74.0,71.2,56.8,75.0,67.2,67.4,49.0,59.6,66.8
31,,71.4,69.8,73.2,74.6,62.4,58.4,41.2,46.8,64.4,59.0,47.4,71.0,65.4,74.0,70.8,46.0,30.4,50.8,61.6,72.2,74.6,70.0,56.6,74.4,68.4,66.6,47.4,59.4,65.0
32,,72.0,68.6,,73.0,58.6,56.8,40.2,44.8,66.2,58.8,45.2,68.0,65.8,73.4,68.0,47.0,29.8,56.0,61.4,72.4,75.2,70.2,56.8,72.4,68.6,65.8,43.8,58.4,63.8
33,,73.6,70.4,,69.6,57.0,54.2,39.0,41.4,68.4,60.0,47.6,67.8,69.4,71.0,68.0,47.2,28.6,58.0,61.4,72.0,75.2,69.8,58.0,73.0,69.2,65.8,42.6,56.2,62.6
34,,75.8,73.6,72.4,66.8,51.2,54.4,40.2,38.6,66.2,61.2,48.0,66.8,69.8,72.8,66.8,47.2,28.4,58.6,60.4,71.8,75.0,70.0,61.0,74.8,66.6,62.6,42.0,53.4,63.8
35,69.0,,72.4,71.8,66.0,47.0,55.0,38.8,38.4,65.4,61.4,49.2,66.2,67.8,72.6,66.4,45.2,30.4,56.4,60.4,71.8,75.6,70.0,61.4,74.0,64.4,62.8,41.0,50.8,65.2
36,68.0,,73.0,68.8,66.2,43.0,55.6,41.0,41.4,66.6,60.6,51.8,68.0,69.6,72.8,66.0,44.2,30.2,56.0,61.0,71.2,75.8,66.8,65.8,74.0,63.6,62.6,38.8,49.4,61.8
37,65.8,75.6,74.0,66.2,66.6,41.8,54.4,39.6,44.0,62.6,62.4,52.6,68.0,71.2,73.2,65.6,44.8,32.0,56.4,61.0,69.8,75.8,65.6,65.4,73.6,63.8,63.0,38.0,49.2,58.6
38,69.6,,70.8,67.4,68.6,40.4,56.2,41.0,43.2,61.8,62.8,53.2,66.6,69.6,72.2,65.2,44.6,33.0,56.6,61.4,69.2,75.8,64.2,67.2,74.0,61.6,60.2,39.4,48.2,59.8
39,70.4,,,69.0,69.0,41.6,57.2,39.8,45.8,62.2,61.0,51.8,65.4,70.0,73.2,64.8,44.4,33.8,55.4,61.4,69.0,75.8,64.6,65.2,73.2,62.2,61.2,35.0,48.2,58.0
40,68.6,,72.0,68.6,69.2,42.0,57.6,42.4,48.8,60.8,61.0,49.6,64.6,69.0,72.6,64.0,43.8,33.8,,61.4,68.0,75.8,66.4,67.2,73.8,61.8,60.8,37.6,47.2,54.4
41,67.6,75.6,71.8,67.8,69.8,41.6,56.2,43.0,46.6,61.6,62.2,51.0,65.8,69.6,72.6,64.4,42.8,34.4,,61.8,66.8,75.4,65.2,67.4,72.4,58.6,59.0,36.6,47.4,52.8
42,65.6,,70.4,70.2,68.4,42.0,56.8,43.0,48.4,62.6,61.6,49.8,65.0,70.4,72.2,63.6,42.8,34.2,56.4,62.0,65.6,75.2,65.6,67.0,71.4,56.8,61.0,35.2,45.2,51.6
43,65.2,,71.6,69.4,66.0,45.6,58.0,43.6,51.0,61.8,62.0,51.6,66.2,71.4,71.6,62.0,42.8,35.0,55.8,61.8,64.8,74.2,64.8,68.4,70.8,57.0,60.6,35.0,46.8,51.2
44,63.0,,71.8,,,,,,48.8,62.6,,,,69.2,,,,,,61.8,64.6,73.8,65.2,67.4,70.2,57.2,61.4,35.0,46.4,52.6
45,,,,,,,,,,,,,,,,,,,,61.4,64.2,73.8,66.0,68.6,69.2,56.4,61.8,34.0,46.4,56.2
46,,,,,,,,,,,,,,,,,,,,61.4,64.0,73.0,64.6,67.2,68.6,55.0,60.4,36.0,47.4,56.6
47,,,,,,,,,,,,,,,,,,,,61.4,64.0,72.2,64.0,69.0,69.4,54.4,60.4,34.0,47.0,55.8
48,,,,,,,,,,,,,,,,,,,,60.6,64.0,,,68.0,69.0,56.2,,,52.8,56.6
49,,,,,,,,,,,,,,,,,,,,,,,,,67.2,,,,50.4,57.2
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.8
